ID,Year_Birth,Education,Marital_Status,Income,Kidhome,Teenhome,Dt_Customer,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Z_CostContact,Z_Revenue,Response,Label
3076,1975,Graduation,Together,66653.0,1,1,07-09-2012,18,452,18,102,16,18,6,4,4,2,12,3,0,0,0,0,0,0,3,11,0,0
1012,1952,Graduation,Single,61823.0,0,1,18-02-2013,26,523,7,134,37,14,169,4,8,2,10,7,0,0,0,0,0,0,3,11,0,0
6518,1951,PhD,Widow,67680.0,0,1,11-06-2013,8,546,0,48,0,6,6,1,7,3,8,5,0,0,0,0,0,0,3,11,0,0
4137,1948,Graduation,Together,70666.0,0,0,06-12-2013,29,398,40,367,119,122,30,1,7,4,4,4,0,0,0,0,0,0,3,11,0,1
9369,1979,2n Cycle,Single,88194.0,0,1,19-03-2014,19,688,14,309,201,24,38,1,11,10,10,5,1,0,0,1,0,0,3,11,1,1
4477,1958,Graduation,Together,69096.0,0,1,27-09-2013,4,247,49,159,7,82,109,1,5,2,10,4,0,0,0,0,0,0,3,11,0,0
1357,1970,Graduation,Together,74854.0,1,2,08-04-2013,90,856,59,487,58,29,73,7,2,5,5,5,0,0,0,0,0,0,3,11,0,1
1402,1954,Master,Married,66991.0,0,0,11-09-2012,1,496,36,460,189,60,12,3,4,8,6,3,0,0,0,0,0,0,3,11,0,1
6312,1959,Graduation,Married,65031.0,0,1,17-03-2013,29,258,107,291,84,37,86,4,10,3,13,7,0,0,0,0,0,0,3,11,0,0
8132,1975,PhD,Married,60631.0,1,1,05-04-2013,88,565,6,65,0,6,19,5,9,2,8,7,0,1,0,0,0,0,3,11,0,0
1859,1972,Master,Married,75251.0,0,0,27-08-2012,34,721,111,925,97,18,18,1,7,6,5,5,0,0,0,0,0,0,3,11,1,1
7503,1976,Graduation,Single,75825.0,0,0,12-10-2012,40,1032,105,779,137,105,51,0,5,8,9,4,1,0,0,0,0,0,3,11,1,1
1618,1965,Graduation,Together,56046.0,0,0,02-01-2013,9,577,0,64,0,0,51,2,10,1,8,8,1,0,0,0,0,0,3,11,1,0
535,1987,Graduation,Divorced,81361.0,0,0,25-02-2014,18,163,23,424,27,65,76,1,3,10,13,1,0,0,0,0,0,0,3,11,0,1
4452,1957,Graduation,Single,50388.0,0,1,28-05-2014,3,292,6,37,0,3,34,4,6,1,6,7,0,1,0,1,0,0,3,11,1,0
8504,1973,Graduation,Married,79593.0,0,0,12-05-2014,70,350,60,568,110,133,145,1,5,6,7,2,0,0,1,0,0,0,3,11,0,1
771,1967,Graduation,Together,54178.0,0,1,21-01-2014,79,135,9,39,4,0,7,1,2,2,5,2,0,0,0,0,0,0,3,11,0,0
11100,1972,Graduation,Divorced,51813.0,1,1,11-04-2013,37,51,2,7,0,1,2,2,2,0,3,7,0,0,0,0,0,0,3,11,0,0
4646,1951,2n Cycle,Married,78497.0,0,0,01-12-2013,44,207,26,447,75,0,223,1,5,7,12,2,0,0,0,1,0,0,3,11,0,1
3037,1983,PhD,Married,50150.0,0,0,20-06-2013,32,135,46,92,65,61,11,2,5,2,7,5,0,0,0,0,0,0,3,11,0,0
4518,1979,Graduation,Together,85693.0,0,1,20-04-2013,59,386,172,183,185,132,111,2,9,5,11,5,0,0,0,0,0,0,3,11,0,0
9370,1945,PhD,Married,65846.0,0,0,17-05-2013,68,562,81,276,80,40,81,1,6,3,6,4,0,0,0,0,0,0,3,11,0,0
8908,1959,Graduation,Married,87195.0,0,0,08-05-2014,35,217,76,690,50,26,38,1,3,11,5,1,0,0,0,0,0,0,3,11,1,1
2683,1969,Graduation,Married,52413.0,0,2,02-02-2013,56,295,106,271,75,98,65,4,6,4,12,6,0,0,0,0,0,0,3,11,0,0
10991,1960,Master,Married,89058.0,0,0,07-12-2012,18,454,194,106,31,22,43,1,5,4,4,2,0,0,0,0,0,0,3,11,0,0
5077,1979,Graduation,Together,77298.0,0,1,02-11-2013,46,425,115,292,23,35,79,1,6,6,11,3,0,0,0,0,0,0,3,11,0,0
7431,1991,PhD,Single,68126.0,0,0,10-11-2012,40,1332,17,311,23,51,86,1,7,4,5,9,0,1,0,0,0,0,3,11,1,1
3267,1963,Master,Together,57288.0,0,1,25-06-2014,27,527,0,21,0,0,60,3,8,1,8,6,0,1,0,0,0,0,3,11,0,0
999,1991,Graduation,Single,86037.0,0,0,02-01-2013,95,490,44,125,29,20,22,1,6,7,11,3,0,1,1,0,0,0,3,11,1,0
2286,1962,Graduation,Single,50785.0,1,1,10-09-2013,27,64,1,21,0,1,27,2,2,1,3,6,0,0,0,0,0,0,3,11,0,0
1592,1970,Graduation,Married,90765.0,0,0,24-01-2014,25,547,99,812,151,82,33,0,4,6,5,1,0,0,1,1,0,0,3,11,0,1
9805,1953,Master,Together,56129.0,0,1,20-06-2013,65,320,48,133,39,72,48,4,6,2,10,4,0,0,0,0,0,0,3,11,0,0
1491,1965,2n Cycle,Together,71488.0,0,0,18-02-2013,87,162,33,124,40,28,172,2,3,4,7,1,0,0,0,0,0,0,3,11,0,0
11071,1984,Graduation,Single,79607.0,0,0,21-04-2013,37,450,133,951,173,0,216,1,3,6,6,1,0,0,0,0,0,0,3,11,1,1
3381,1953,Master,Married,54348.0,1,1,08-06-2014,51,70,0,16,0,0,4,2,2,0,4,6,0,0,0,0,0,0,3,11,0,0
11051,1956,PhD,Together,77376.0,1,1,10-05-2014,72,492,19,110,16,12,12,4,6,3,10,4,0,0,0,0,0,0,3,11,0,0
8026,1952,Graduation,Married,62998.0,0,1,30-09-2013,10,120,58,73,65,89,58,5,5,4,5,5,0,0,0,0,0,0,3,11,0,0
433,1958,Master,Alone,61331.0,1,1,10-03-2013,42,534,5,47,0,5,41,5,11,1,6,8,0,0,0,0,0,0,3,11,0,0
9597,1969,Graduation,Married,73448.0,0,0,10-02-2014,10,236,106,189,23,41,130,1,7,2,9,4,0,0,0,0,0,0,3,11,0,0
1685,1967,PhD,Together,62981.0,0,0,17-03-2013,21,796,14,590,38,44,0,1,4,5,13,3,0,1,0,0,0,0,3,11,0,1
821,1992,Master,Single,92859.0,0,0,19-10-2012,46,962,61,921,52,61,20,1,5,4,12,2,0,0,0,0,0,0,3,11,0,1
11084,1976,Master,Together,65104.0,0,1,14-11-2013,4,738,0,232,13,20,50,2,3,5,7,7,0,0,0,0,0,0,3,11,1,0
8690,1962,Graduation,Married,86111.0,0,0,19-04-2013,73,399,28,756,36,40,126,1,5,7,10,2,0,0,0,0,0,0,3,11,0,1
2937,1974,PhD,Single,68352.0,0,1,28-08-2013,47,614,16,132,43,33,33,3,8,5,9,6,0,0,0,0,0,0,3,11,0,0
9949,1976,Graduation,Married,59809.0,0,2,18-10-2012,36,598,16,141,32,41,49,3,3,3,6,8,0,0,0,0,0,0,3,11,0,0
3830,1953,Master,Married,59354.0,0,2,24-04-2014,59,295,21,78,39,13,13,1,4,4,7,3,0,0,0,0,0,0,3,11,0,0
7987,1969,Graduation,Married,65747.0,0,1,07-03-2014,96,346,17,48,23,13,13,4,8,1,6,6,0,1,0,0,0,0,3,11,0,0
7055,1952,PhD,Together,61010.0,0,1,09-10-2012,57,888,0,57,0,0,76,2,8,5,11,5,0,0,0,0,0,0,3,11,0,0
10240,1949,Graduation,Together,69372.0,0,0,19-02-2013,10,997,26,269,34,13,42,1,10,4,6,4,0,1,1,0,0,0,3,11,1,0
9283,1978,Graduation,Single,60199.0,1,2,12-09-2013,49,8,1,7,2,0,0,1,0,0,3,4,0,0,0,0,0,0,3,11,0,0
9970,1977,Graduation,Together,55375.0,0,1,17-10-2013,3,42,11,57,10,28,14,1,1,1,6,2,0,0,0,0,0,0,3,11,0,0
2730,1955,Graduation,Single,80317.0,0,0,20-08-2013,64,536,11,387,149,91,57,1,3,4,10,1,0,0,0,0,0,0,3,11,0,1
9260,1945,PhD,Married,70356.0,0,0,05-11-2012,20,1349,16,249,43,16,33,2,10,6,9,6,0,0,0,0,0,0,3,11,0,0
10095,1975,PhD,Divorced,74165.0,0,0,01-05-2013,9,1001,12,240,16,12,12,1,5,4,10,2,0,0,0,0,0,0,3,11,0,0
10573,1953,Graduation,Divorced,62551.0,0,0,18-11-2013,27,125,16,98,134,21,27,1,6,7,4,3,1,0,0,0,0,0,3,11,0,0
3712,1959,Graduation,Divorced,52332.0,0,0,28-08-2013,63,212,5,33,7,0,2,1,3,2,6,4,0,1,0,0,0,0,3,11,0,0
6637,1988,Graduation,Single,66951.0,0,0,02-11-2013,46,277,162,305,173,76,124,1,3,4,7,1,0,0,0,0,0,0,3,11,0,1
1349,1970,Graduation,Married,50447.0,2,0,21-04-2014,4,85,7,24,2,3,27,1,3,1,3,6,0,0,0,0,0,0,3,11,0,0
1880,1959,PhD,Together,53537.0,1,1,30-01-2014,17,81,0,6,0,0,6,2,2,1,3,5,0,0,0,0,0,0,3,11,0,0
641,1967,Graduation,Single,52074.0,0,1,04-04-2014,77,59,0,12,0,0,48,1,2,2,2,4,1,0,0,0,0,0,3,11,0,0
8717,1975,PhD,Married,80427.0,0,1,12-09-2012,56,1149,71,449,69,71,26,1,11,8,8,5,0,0,0,0,0,0,3,11,0,1
10314,1948,PhD,Married,83837.0,0,0,16-12-2012,79,847,66,119,86,89,111,1,9,10,5,4,0,1,0,1,0,0,3,11,1,0
6935,1951,2n Cycle,Married,78497.0,0,0,01-12-2013,44,207,26,447,75,0,223,1,5,7,12,2,0,0,0,1,0,0,3,11,0,1
7698,1976,PhD,Married,51650.0,0,1,11-05-2014,81,152,3,22,2,5,7,1,4,1,4,5,0,0,0,0,0,0,3,11,0,0
10562,1946,Master,Married,66835.0,0,0,28-09-2013,21,620,26,195,34,17,141,1,6,4,13,2,0,0,0,0,0,0,3,11,0,0
3934,1966,Graduation,Married,61286.0,0,1,02-08-2013,34,356,0,107,19,9,117,2,7,1,8,5,0,0,0,0,0,0,3,11,0,0
6982,1976,Graduation,Married,74068.0,0,0,19-03-2013,14,783,30,537,140,76,15,1,4,10,9,2,0,0,0,0,0,0,3,11,0,1
5602,1989,PhD,Together,66973.0,0,0,17-05-2013,98,466,22,432,147,113,102,1,8,7,12,3,0,0,0,0,0,0,3,11,0,1
326,1973,Graduation,Married,51148.0,1,1,18-02-2013,38,235,6,45,8,9,12,4,5,1,6,6,0,0,0,0,0,0,3,11,0,0
6999,1980,Master,Married,69661.0,0,0,13-05-2014,80,656,16,106,32,16,8,1,7,3,12,3,0,0,0,0,0,0,3,11,0,0
9938,1954,Graduation,Married,80067.0,0,0,19-09-2013,82,519,17,813,27,173,51,1,4,6,6,2,0,0,1,0,0,0,3,11,0,1
6422,1954,Graduation,Married,86718.0,0,0,17-01-2013,20,344,189,482,50,33,172,1,5,6,5,2,0,0,0,0,0,0,3,11,0,1
7300,1952,Graduation,Divorced,69142.0,0,1,29-06-2014,50,448,4,34,6,4,39,3,8,1,7,5,0,1,0,0,0,0,3,11,0,0
10424,1968,Graduation,Single,75922.0,0,0,09-12-2013,60,265,138,553,224,23,92,1,4,4,9,1,0,0,0,0,0,0,3,11,0,1
8727,1978,Graduation,Divorced,63693.0,0,1,14-10-2013,63,587,43,337,42,87,54,3,11,6,9,6,0,0,0,0,0,0,3,11,0,1
380,1954,Graduation,Divorced,64497.0,0,1,10-09-2012,17,1170,48,320,42,32,192,5,11,4,9,8,1,0,0,0,0,0,3,11,1,1
6521,1954,Graduation,Together,77972.0,0,0,18-03-2014,18,613,22,319,33,102,12,1,4,6,9,1,0,0,0,0,0,0,3,11,0,1
0,1985,Graduation,Married,70951.0,0,0,04-05-2013,66,239,10,554,254,87,54,1,3,4,9,1,0,0,0,0,0,0,3,11,0,1
7264,1978,2n Cycle,Single,52195.0,2,1,12-05-2014,2,12,0,4,0,0,1,1,1,0,2,8,0,0,0,0,0,0,3,11,0,0
6274,1948,Master,Married,83790.0,0,0,15-11-2013,81,1076,16,417,42,48,16,1,8,10,6,3,0,1,1,0,0,0,3,11,0,1
454,1980,Graduation,Together,69508.0,1,0,14-11-2012,48,824,32,162,42,32,43,2,11,4,11,6,0,0,0,0,0,0,3,11,0,0
2075,1969,Graduation,Married,72460.0,0,0,14-11-2013,56,377,10,540,80,30,10,1,3,5,7,1,0,0,0,0,0,0,3,11,0,1
4785,1970,PhD,Together,77622.0,0,2,14-04-2014,3,520,7,154,19,0,14,2,6,3,11,3,0,0,0,0,0,0,3,11,0,0
7079,1962,Graduation,Divorced,63887.0,0,1,08-09-2012,38,897,23,207,15,11,92,5,9,6,12,6,0,0,0,0,0,0,3,11,0,0
7375,1976,Graduation,Together,51369.0,0,1,25-10-2012,84,297,7,79,0,11,182,2,8,2,4,8,0,0,0,0,0,0,3,11,0,0
709,1952,Graduation,Divorced,51537.0,0,1,09-12-2012,27,787,20,204,0,0,92,3,2,2,11,8,0,0,0,0,0,0,3,11,0,0
460,1972,PhD,Married,79930.0,0,0,08-08-2012,72,792,86,740,67,51,17,1,3,5,8,2,0,0,0,0,0,0,3,11,0,1
5341,1962,2n Cycle,Divorced,81975.0,0,1,05-01-2013,2,983,76,184,180,138,27,1,6,3,4,7,0,0,1,0,0,0,3,11,0,0
3233,1965,PhD,Married,62745.0,0,1,23-03-2013,89,562,21,464,28,10,32,3,7,8,11,5,0,0,0,0,0,0,3,11,0,1
9449,1958,PhD,Single,79761.0,0,1,04-10-2013,32,415,5,124,15,35,11,1,5,2,11,3,0,0,0,0,0,0,3,11,0,0
11004,1893,2n Cycle,Single,60182.0,0,1,17-05-2014,23,8,0,5,7,0,2,1,1,0,2,4,0,0,0,0,0,0,3,11,0,0
313,1968,Graduation,Widow,73455.0,0,0,28-10-2013,98,901,61,757,186,163,20,1,6,5,10,3,0,1,0,0,0,0,3,11,0,1
9940,1958,Graduation,Together,64961.0,0,1,23-12-2012,97,382,114,276,75,124,38,2,6,4,4,3,0,0,0,0,0,0,3,11,0,0
9529,1990,Graduation,Married,73687.0,0,0,28-11-2013,8,559,153,503,218,13,181,1,3,9,9,2,0,0,0,1,0,0,3,11,1,1
6439,1958,Graduation,Married,61074.0,0,1,17-08-2012,37,789,0,133,0,28,152,7,11,5,8,7,0,0,0,0,0,0,3,11,0,0
2176,1972,Graduation,Married,80134.0,1,0,20-05-2013,40,1218,16,272,104,0,80,2,5,3,6,6,0,1,1,1,0,0,3,11,1,0
9265,1953,Graduation,Married,75027.0,0,1,09-01-2013,74,925,64,179,133,12,77,2,9,4,6,5,0,0,0,0,0,0,3,11,0,0
8867,1988,PhD,Married,67546.0,0,0,31-08-2012,90,864,134,768,150,38,172,1,4,10,5,3,0,0,0,0,0,0,3,11,0,1
8932,1969,Master,Together,65176.0,0,1,29-10-2012,57,960,28,183,220,70,70,4,9,6,6,6,0,0,0,0,0,0,3,11,0,0
10992,1967,Graduation,Together,75702.0,1,1,29-08-2012,77,650,28,353,45,42,30,5,4,6,11,8,0,0,0,0,0,0,3,11,0,1
309,1961,PhD,Together,63342.0,0,1,16-10-2012,48,918,21,118,13,10,21,3,8,3,5,6,0,1,0,0,0,0,3,11,0,0
1184,1968,PhD,Divorced,69674.0,0,2,22-05-2013,46,554,41,215,11,0,24,3,10,2,10,5,0,0,0,0,0,0,3,11,0,0
1225,1963,Graduation,Married,80124.0,0,0,26-06-2014,47,483,84,398,205,84,241,1,3,7,8,1,1,0,0,0,0,0,3,11,0,1
291,1970,Graduation,Married,72940.0,0,0,19-06-2013,13,182,74,298,162,149,116,1,3,3,6,1,0,0,0,0,0,0,3,11,0,0
2379,1953,Graduation,Single,69267.0,0,0,22-09-2012,31,778,44,499,95,73,146,2,3,4,5,7,0,0,0,0,0,0,3,11,1,1
3066,1975,PhD,Together,61905.0,0,1,04-02-2014,2,167,0,43,6,2,13,2,4,2,4,5,0,0,0,0,0,0,3,11,0,0
2304,1963,PhD,Together,66313.0,0,1,16-09-2013,86,625,7,99,10,22,7,2,6,3,12,4,0,0,0,0,0,0,3,11,0,0
3445,1956,Graduation,Single,60714.0,0,0,17-01-2013,56,216,162,224,101,92,162,2,7,4,10,5,0,0,0,0,0,0,3,11,1,0
7828,1981,Master,Together,77882.0,0,0,30-04-2014,29,68,129,396,188,22,15,1,3,3,5,1,0,0,0,0,0,0,3,11,0,1
3762,1986,PhD,Single,69867.0,0,0,02-04-2013,30,196,0,512,33,130,54,1,3,5,8,1,0,0,0,1,0,0,3,11,1,1
4391,1968,Master,Divorced,63841.0,0,1,21-04-2013,64,635,15,100,20,7,131,1,9,3,9,6,0,0,0,0,0,0,3,11,0,0
10144,1976,Graduation,Together,51369.0,0,1,25-10-2012,84,297,7,79,0,11,182,2,8,2,4,8,0,0,0,0,0,0,3,11,0,0
1672,1974,PhD,Together,65640.0,0,1,01-03-2014,74,204,7,149,20,15,66,1,5,1,8,2,0,0,0,0,0,0,3,11,0,0
10983,1952,Graduation,Together,75278.0,0,0,29-01-2013,17,304,98,230,150,74,74,1,6,3,13,3,0,0,0,0,0,0,3,11,0,0
8148,1956,Master,Together,50898.0,1,1,08-01-2013,88,285,28,242,55,114,135,13,6,2,12,5,0,0,0,0,0,0,3,11,0,0
10102,1966,Graduation,Widow,79946.0,0,0,12-05-2014,19,395,183,565,166,141,28,1,5,11,5,3,0,0,0,0,0,0,3,11,0,1
4543,1980,Graduation,Married,82497.0,0,0,31-10-2012,32,777,129,573,216,21,203,1,2,7,9,4,0,0,1,0,0,0,3,11,0,1
2926,1952,Master,Together,55951.0,0,1,23-08-2012,62,1241,0,80,0,13,40,3,3,6,11,8,0,1,0,0,1,0,3,11,0,0
7119,1982,Graduation,Single,68627.0,0,0,12-01-2013,45,395,15,263,60,54,38,1,2,3,6,1,0,0,0,0,0,0,3,11,0,0
3924,1965,PhD,Divorced,57912.0,0,1,17-03-2014,34,801,0,80,0,0,35,5,8,3,12,5,0,1,0,0,0,0,3,11,0,0
5596,1956,2n Cycle,Together,58821.0,0,1,12-10-2013,44,513,14,154,19,0,28,1,9,2,9,6,0,0,0,0,0,0,3,11,0,0
9274,1961,Master,Married,80950.0,0,0,28-03-2013,44,525,147,112,219,147,63,1,6,7,9,2,0,0,0,1,0,0,3,11,0,0
6963,1947,Graduation,Single,77457.0,0,0,05-03-2014,85,675,11,400,15,45,11,1,2,5,10,1,0,0,1,0,0,0,3,11,0,1
4440,1964,Master,Married,64100.0,0,1,10-09-2013,93,509,0,27,0,0,10,1,8,3,6,7,0,1,0,0,0,0,3,11,0,0
6320,1976,Master,Single,70893.0,0,0,06-02-2013,42,768,44,561,77,44,14,1,6,6,10,3,0,0,0,0,0,0,3,11,0,1
3050,1966,Graduation,Married,54198.0,1,1,17-12-2013,13,185,0,28,3,2,17,6,3,1,6,4,0,0,0,0,0,0,3,11,0,0
9478,1985,Graduation,Single,66503.0,1,0,14-08-2012,30,91,64,128,65,3,50,2,4,3,6,3,0,0,0,0,0,0,3,11,0,0
1802,1971,Graduation,Married,64795.0,0,1,17-01-2013,23,412,5,119,38,29,77,3,3,3,12,2,0,0,0,0,0,0,3,11,0,0
9750,1961,PhD,Divorced,64325.0,0,1,07-02-2013,41,731,60,353,78,12,73,5,10,3,5,7,0,0,0,0,0,0,3,11,0,1
7214,1957,Graduation,Married,62187.0,0,0,05-07-2013,49,792,0,275,45,45,126,1,4,8,5,3,0,0,0,0,0,0,3,11,0,0
10350,1950,PhD,Married,54432.0,2,1,09-05-2013,37,33,0,5,0,0,0,1,1,0,3,4,0,0,0,0,0,0,3,11,0,0
10675,1956,PhD,Married,66334.0,0,1,03-04-2013,82,909,11,218,0,0,23,2,9,3,5,5,0,0,0,0,0,0,3,11,1,0
10151,1960,Graduation,Divorced,62204.0,0,2,12-09-2012,38,317,46,247,151,46,139,1,4,5,12,3,0,0,0,0,0,0,3,11,0,0
7381,1968,Graduation,Divorced,75693.0,0,0,06-12-2012,10,797,153,293,72,97,30,1,11,4,6,4,0,1,1,1,0,0,3,11,1,0
9560,1965,Graduation,Together,83003.0,0,0,03-03-2013,18,856,61,570,40,25,122,1,7,6,8,3,0,0,1,0,0,0,3,11,1,1
1150,1899,PhD,Together,83532.0,0,0,26-09-2013,36,755,144,562,104,64,224,1,4,6,4,1,0,0,1,0,0,0,3,11,0,1
10172,1988,Graduation,Single,68655.0,0,0,10-08-2012,95,456,19,832,75,118,38,1,4,5,11,3,0,0,0,0,0,0,3,11,0,1
9707,1969,PhD,Married,55212.0,0,1,23-11-2012,65,1103,0,45,0,0,34,3,4,2,11,8,0,1,0,0,1,0,3,11,0,0
6245,1950,PhD,Together,59292.0,0,1,13-06-2013,71,378,14,68,19,14,14,2,3,5,8,3,0,0,0,0,0,0,3,11,0,0
1411,1952,Graduation,Divorced,82623.0,0,0,10-11-2013,58,204,34,204,172,153,173,1,2,9,4,1,0,0,0,0,0,0,3,11,0,0
1826,1970,Graduation,Divorced,84835.0,0,0,16-06-2014,0,189,104,379,111,189,218,1,4,4,6,1,0,0,0,0,0,0,3,11,1,1
2579,1957,Graduation,Married,71113.0,0,1,17-12-2013,95,495,33,255,11,33,8,4,6,7,9,4,0,0,0,0,0,0,3,11,0,0
175,1986,Graduation,Married,71952.0,1,0,10-01-2013,93,656,80,455,52,107,93,2,8,4,8,4,1,0,1,0,0,0,3,11,0,1
9185,1966,PhD,Single,69759.0,0,0,28-10-2013,38,452,20,514,13,30,0,3,4,6,5,3,0,0,0,0,0,0,3,11,1,1
11056,1974,Graduation,Married,72099.0,0,0,27-10-2012,18,546,91,410,119,0,22,1,3,4,10,1,0,0,0,0,0,0,3,11,0,1
9365,1976,PhD,Single,60000.0,0,1,22-12-2012,57,1048,0,217,0,0,12,5,11,3,5,6,0,0,0,0,0,0,3,11,0,0
2061,1955,Graduation,Married,50737.0,0,1,11-05-2013,61,78,0,11,0,0,10,1,2,0,4,6,0,1,0,0,0,0,3,11,0,0
6184,1969,PhD,Married,68462.0,0,0,12-12-2012,6,561,64,785,84,128,48,1,3,3,8,1,0,0,0,0,0,0,3,11,0,1
6142,1943,Master,Married,65073.0,0,0,20-08-2013,65,629,17,177,69,0,8,1,5,3,5,2,0,0,0,0,0,1,3,11,0,0
7274,1957,Graduation,Married,78618.0,0,0,28-09-2012,87,736,163,818,212,163,61,1,4,7,10,2,0,1,0,0,0,0,3,11,0,1
9336,1969,PhD,Widow,62187.0,0,1,22-03-2014,38,512,0,83,0,0,41,3,6,2,10,4,0,0,0,0,0,0,3,11,0,0
5837,1967,Graduation,Married,51479.0,1,1,28-12-2012,67,247,8,160,6,8,65,7,6,3,6,7,0,0,0,0,0,0,3,11,0,0
10704,1969,Graduation,Single,54803.0,0,1,21-08-2012,65,404,0,92,28,27,142,2,6,2,9,4,0,0,0,0,0,0,3,11,0,0
5125,1960,Graduation,Married,79530.0,0,0,17-05-2013,64,333,0,815,129,42,29,1,4,10,11,2,0,0,0,0,0,0,3,11,0,1
5955,1962,Graduation,Together,72025.0,0,0,17-11-2012,27,833,33,549,151,133,233,1,4,3,8,3,0,0,0,0,0,0,3,11,0,1
2928,1975,PhD,Single,52614.0,0,1,01-12-2012,63,789,0,142,12,9,38,2,2,4,8,8,0,0,0,0,0,0,3,11,0,0
1245,1966,Graduation,Single,63810.0,0,1,11-11-2012,45,977,12,253,16,12,101,4,4,3,12,8,0,1,0,0,0,0,3,11,0,0
